,average_citations_per_paper
1703,0
1755,0
1766,2
1780,7
1787,0
1793,0
1800,0
1813,0
1817,6
1828,1
1835,4
1839,19
1840,0
1844,0.5
1845,0
1848,0
1857,5
1863,0
1864,2.5
1869,0
1870,0
1878,57
1884,72
1888,0
1894,0
1896,0
1897,0
1900,0
1903,0
1908,0
1912,1
1915,1
1916,5
1918,6
1920,1
1923,1
1924,0
1926,0
1929,0
1931,0
1934,19
1935,7
1938,1
1939,4
1941,0
1943,0
1944,0
1945,0
1946,0
1948,0
1949,7
1951,0
1952,3
1953,13.4
1954,3.5
1955,7
1956,12.4
1957,0
1958,0
1959,0
1960,0.142857143
1961,3.375
1962,2.6
1963,12
1964,5
1965,3.307692308
1966,23.6
1967,12.33333333
1968,21.6969697
1969,25.94736842
1970,11.91666667
1971,42.27272727
1972,22
1973,177.547619
1974,14.03846154
1975,17.60714286
1976,17.69354839
1977,15.07407407
1978,21.10784314
1979,30.54901961
1980,31.62376238
1981,34.3880597
1982,46.60625
1983,16.69767442
1984,43.24870466
1985,47.55789474
1986,67.29100529
1987,58.23193916
1988,56.21165644
1989,60.65373134
1990,61.22788204
1991,69.83916084
1992,59.85185185
1993,50.25842697
1994,44.09907121
1995,64.83286517
1996,56.58629442
1997,112.5591647
1998,54.05949896
1999,59.24314096
2000,63.74149109
2001,74.41293167
2002,83.31612003
2003,59.61736527
2004,60.47988827
2005,54.74137931
2006,55.70609177
2007,62.07733051
2008,55.22108952
2009,59.99848117
2010,46.29809264
2011,49.11900393
2012,47.41970539
2013,49.90246637
2014,41.96174377
2015,42.04341847
2016,45.38361826
2017,37.14203875
2018,31.51803915
2019,27.43753781
2020,25.89766371
2021,16.83468225
2022,11.42640364
2023,5.441128771
2024,1.340406402
