Profile_URL,scholar_id,name,affiliation,total_cites,h_index,i10_index,fields
https://scholar.google.com/citations?hl=en&user=EQ-mkaAAAAAJ,"""EQ-mkaAAAAAJ""",Robert Costanza,"Institute for Global Prosperity, University College London",171047,143,480,"Ecological Economics, Landscape Ecology, Ecosystem Services, Environmental Science, Ecology"
https://scholar.google.com/citations?hl=en&user=m7Z1yI0AAAAJ,"""m7Z1yI0AAAAJ""",Richard J Hobbs,"Emeritus Professor, School of Biological Sciences, University of Western Australia",78438,118,424,"Ecology, Restoration Ecology, Conservation Biology, Landscape Ecology"
https://scholar.google.com/citations?hl=en&user=aiP-d04AAAAJ,"""aiP-d04AAAAJ""",MONICA G TURNER,"Odum Professor of Ecology, University of Wisconsin-Madison",72311,122,306,"ecosystem ecology, landscape ecology, forests, fire, disturbance"
https://scholar.google.com/citations?hl=en&user=HGk_aboAAAAJ,"""HGk_aboAAAAJ""",Jerry Franklin,"Professor of Ecosystem Science, University of Washington",69743,111,303,"forest ecology, community ecology, disturbance ecology, landscape ecology, forest management & policy"
https://scholar.google.com/citations?hl=en&user=Htef610AAAAJ,"""Htef610AAAAJ""",Lenore Fahrig,"Professor of Biology, Carleton University",69532,110,247,"landscape ecology, conservation biology, ecology, road ecology"
https://scholar.google.com/citations?hl=en&user=CCnUeN8AAAAJ,"""CCnUeN8AAAAJ""",Taylor Ricketts,"Professor and Director, Gund Institute, University of Vermont",65617,80,133,"Landscape Ecology, Ecosystem Services, Ecological Economics, Pollination, Environmental Health"
https://scholar.google.com/citations?hl=en&user=tI-9Q9kAAAAJ,"""tI-9Q9kAAAAJ""",Helene H. Wagner,University of Toronto,65452,61,117,"Landscape ecology, landscape genetics, conservation, multivariate and spatial statistics, ecology"
https://scholar.google.com/citations?hl=en&user=tDmLtlUAAAAJ,"""tDmLtlUAAAAJ""","Jianguo ""Jingle"" Wu (邬建国)","Dean's Distinguished Professor of Landscape Ecology & Sustainability Science, Arizona State",65210,114,328,"Landscape ecology, Urban ecology, Sustainability science, Urban sustainability, Ecosystem services"
https://scholar.google.com/citations?hl=en&user=ycmnookAAAAJ,"""ycmnookAAAAJ""",Bojie Fu,"Research Centre for Eco-Environmental Sciences, Chinese Academy of Sciences",64952,123,705,"landscape ecology, geography, ecohydrology"
https://scholar.google.com/citations?hl=en&user=8o_zQvQAAAAJ,"""8o_zQvQAAAAJ""",Alexandra-Maria Klein,University of Freiburg,56185,89,218,"Landscape Ecology, Nature Conservation, Pollination Ecology"
https://scholar.google.com/citations?hl=en&user=5V31hhsAAAAJ,"""5V31hhsAAAAJ""",Craig D. Allen,"Geography & Environmental Studies Dept., Univ. of New Mexico",46276,70,125,"forest ecology, global change, disturbance ecology, landscape ecology, fire ecology"
https://scholar.google.com/citations?hl=en&user=O9M7yyQAAAAJ,"""O9M7yyQAAAAJ""",Joern Fischer,"Social-ecological Systems Institute (SESI), Faculty of Sustainability, Leuphana University Lueneburg",35760,89,209,"Sustainability Science, Landscape Ecology, Social-Ecological Systems, Conservation Science"
https://scholar.google.com/citations?hl=en&user=V7pvcboAAAAJ,"""V7pvcboAAAAJ""",Erle C. Ellis,"Professor of Geography & Environmental Systems, University of Maryland, Baltimore County",35532,76,158,"Global Ecology, Anthropocene, Land use change, Landscape Ecology, Sustainable Land Management"
https://scholar.google.com/citations?hl=en&user=4ZGaYlIAAAAJ,"""4ZGaYlIAAAAJ""",Samuel A Cushman,"University of Oxford, Department of Biology, Wildlife Conservation Research Unit",35395,85,254,"Landscape Ecology, Conservation Biology, Ecological Modeling, Natural Resource Management, Evolutionary Biology"
